id,type,month,date,year
474,Drafted,7,18,18
475,Drafted,7,18,18
476,Drafted,7,19,18
477,Drafted,7,18,18
478,Drafted,7,18,18
479,Drafted,7,19,18
480,Drafted,7,15,18
481,Drafted,7,19,18
482,Drafted,7,17,18
483,Drafted,7,18,18
484,Drafted,7,15,18
485,Drafted,7,17,18
486,Drafted,7,18,18
487,Drafted,7,19,18
488,Drafted,7,19,18
489,Drafted,7,19,18
490,Drafted,7,15,18
491,Drafted,7,15,18
492,Drafted,7,15,18
493,Drafted,7,18,18
494,Drafted,7,18,18
495,Drafted,7,18,18
496,Drafted,7,18,18
497,Drafted,7,18,18
498,Drafted,7,18,18
499,Drafted,7,29,18
500,Drafted,6,19,18
501,Drafted,7,18,18
502,Drafted,8,4,18
503,Drafted,6,20,18
504,Drafted,7,15,18
505,Drafted,7,31,18
506,Regular Army,11,24,13
507,Drafted,4,29,18
508,Drafted,6,19,18
509,Drafted,6,19,18
510,Drafted,7,15,18
511,Drafted,6,21,18
512,Drafted,6,20,18
513,Drafted,7,17,18
514,Drafted,7,18,18
515,Volunteered,7,16,18
516,Drafted,8,2,18
517,Drafted,6,15,18
518,Drafted,6,20,18
519,Drafted,7,15,18
520,Drafted,7,17,18
521,Drafted,6,18,18
522,Drafted,8,1,18
523,Drafted,8,12,18
524,Drafted,6,21,18
525,Drafted,8,1,18
526,Drafted,6,21,18
527,Drafted,8,1,18
528,Drafted,8,2,18
529,Drafted,6,18,18
530,Drafted,6,18,18
531,Drafted,6,21,18
532,Drafted,6,22,18
533,Drafted,7,18,18
534,Drafted,6,20,18
535,Drafted,6,22,18
536,Drafted,6,21,18
537,Drafted,4,29,18
538,Drafted,6,18,18
539,Drafted,6,21,18
540,Drafted,6,19,18
541,Drafted,6,21,18
542,Drafted,6,21,18
543,Drafted,6,21,18
544,Drafted,6,25,18
545,Drafted,7,19,18
546,Drafted,7,18,18
547,Drafted,4,29,18
548,Drafted,4,29,18
549,Drafted,4,30,18
550,Drafted,8,2,18
551,Drafted,8,23,18
552,Drafted,4,29,18
553,Drafted,4,29,18
554,Drafted,4,30,18
555,Drafted,6,5,18
556,Drafted,8,2,18
557,Drafted,4,30,18
558,Drafted,4,30,18
559,Drafted,4,29,18
560,Drafted,5,8,18
561,Drafted,4,29,18
562,Drafted,4,30,18
563,Drafted,8,1,18
564,Drafted,8,16,18
565,Drafted,4,29,18
566,Drafted,4,29,18
567,Drafted,4,29,18
568,Drafted,4,29,18
569,Drafted,4,29,18
570,Drafted,4,30,18
571,Drafted,4,30,18
572,Drafted,4,30,18
573,Drafted,6,3,18
574,Drafted,5,22,18
575,Drafted,6,22,18
576,Drafted,4,29,18
577,Drafted,4,29,18
578,Drafted,4,29,18
579,Drafted,4,29,18
580,Drafted,4,30,18
581,Drafted,4,30,18
582,Drafted,4,30,18
583,Drafted,4,30,18
584,Drafted,8,2,18
585,Drafted,8,5,18
586,Drafted,6,6,18
587,Drafted,6,8,18
588,Drafted,4,29,18
589,Drafted,7,28,18
590,Drafted,7,18,18
591,Drafted,7,18,18
592,Drafted,7,18,18
593,Drafted,7,18,18
594,Drafted,7,18,18
595,Drafted,7,18,18
596,Drafted,7,18,18
597,Drafted,7,31,18
598,Drafted,8,22,18
599,Drafted,8,2,18
600,Drafted,8,3,18
601,Drafted,4,27,18
602,Drafted,8,2,18
603,Drafted,8,2,18
604,Drafted,7,18,18
605,Drafted,7,18,18
606,Drafted,7,18,18
607,Drafted,7,18,18
608,Drafted,7,19,18
609,Drafted,7,18,18
610,Drafted,7,18,18
